="description",="record_tracking_list_display_format_id",="age_group_desc",="RecordAgeGroupId",="record_tracking_list_event_id",="gender",="event_id",="distance",="stroke_code",="course_code",="RANK",="swim_time",="individual_time_id",="PersonId",="full_name_computed",="AthleteOrgUnitId",="lsc_id",="club_code",="meet_name",="MeetId",="country_code",="location",="location_country_code",="swim_date",="session_desc",="relay_lead_yn",="bios_display_swap_first_last_name_yn",="disable_name_swapping_yn"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="1",="20.79",="303488229",="1910765",="Maggie MacNeil",="8416",="SEC (S",="LSU",="2023 NCAA Division I Women's Championship",="164414",="LSU","Knoxville, TN",="",="3/16/2023",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="2",="20.83",="301718456",="1627256",="Gretchen Walsh",="8136",="ACC (A",="UVA",="2023 ACC Championships",="164821",="UVA","Greensboro, NC",="",="2/15/2023",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="3",="20.84",="279540716",="2382382",="Kate Douglass",="8136",="ACC (A",="UVA",="2022 NCAA DI Women's Swimming",="97290",="UVA",="",="",="3/17/2022",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="4",="20.87",="246363897",="2382382",="Kate Douglass",="8136",="ACC (A",="UVA",="2022 NCAA DI Women's Swimming",="97290",="UVA",="",="",="3/17/2022",="Prelim",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="5",="20.90",="205074178",="1231360",="Abbey Weitzeil",="8084",="Pacifi",="CAL",="Minnesota Invite 2019",="80055",="CAL",="",="",="12/5/2019",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="6",="21.02",="212560167",="1231360",="Abbey Weitzeil",="8084",="Pacifi",="CAL",="2019 NCAA DI - Women",="100459",="CAL",="",="",="3/21/2019",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="7",="21.15",="203310460",="1450136",="Erika Brown",="8377",="SEC (S",="TENN",="2019 SEC Champs",="31696",="TENN",="",="",="2/20/2019",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="8",="21.17",="229105529",="2232752",="Simone Manuel",="8528",="Pacifi",="STAN",="2017 NCAA DI - Women",="6360",="STAN",="",="",="3/16/2017",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="9",="21.21",="272917503",="2931188",="Olivia Smoliga",="8388",="SEC (S",="UGA",="2016 NCAA DI - Women",="39306",="UGA",="",="",="3/17/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1339",="F",="1",="50",="FR",="SCY",="10",="21.27",="194044865",="1285151",="Lara Jackson",="8654",="Pacifi",="ARIZ",="2009 NCAA DI - Women",="13365",="ARIZ",="",="",="3/19/2009",="",="Y",="Y",="Y"
