name,distance,stroke,course,gender,season,time_(seconds),time_(string),record_broken_by,record_improvement_%,new_record_holder,new_record_holder_broken_by,new_record_holder_improvement_%,seasons_between_records,seasons_between_new_holders,team,conference,date,meet,event_id,athlete_id,team_id,session,meet_id
Maggie MacNeil,50,FR,SCY,F,2023.0,20.79,20.79,0.03999999999999915,0.19203072491598247,True,0.03999999999999915,0.19203072491598247,0.0,0.0,LSU,SEC,2023-03-16,2023 NCAA Division I Women's Championship,1.0,1910765.0,8416.0,Final,164414.0
Gretchen Walsh,50,FR,SCY,F,2023.0,20.83,20.83,0.010000000000001563,0.04798464491363514,True,0.010000000000001563,0.04798464491363514,1.0,1.0,Virginia,ACC,2023-02-15,2023 ACC Championships,1.0,1627256.0,8136.0,Final,164821.0
Kate Douglass,50,FR,SCY,F,2022.0,20.84,20.84,0.05999999999999872,0.28708133971291255,True,0.05999999999999872,0.28708133971291255,2.0,3.0,Virginia,ACC,2022-03-17,2022 NCAA DI Women's Swimming,1.0,2382382.0,8136.0,Final,97290.0
Abbey Weitzeil,50,FR,SCY,F,2020.0,20.9,20.90,0.120000000000001,0.5708848715509087,False,0.25,1.182033096926714,1.0,,California,Pac,2019-12-05,Minnesota Invite 2019,1.0,1231360.0,8084.0,Final,80055.0
Abbey Weitzeil,50,FR,SCY,F,2019.0,21.02,21.02,0.129999999999999,0.6146572104018866,True,,,0.0,0.0,California,Pac,2019-03-21,2019 NCAA DI - Women,1.0,1231360.0,8084.0,Final,100459.0
Erika Brown,50,FR,SCY,F,2019.0,21.15,21.15,0.020000000000003126,0.09447331128957547,True,0.020000000000003126,0.09447331128957547,2.0,2.0,Tennessee,SEC,2019-02-20,2019 SEC Champs,1.0,1450136.0,8377.0,Final,31696.0
Simone Manuel,50,FR,SCY,F,2017.0,21.17,21.17,0.03999999999999915,0.18859028760018456,True,0.03999999999999915,0.18859028760018456,1.0,1.0,Stanford,Pac,2017-03-16,2017 NCAA DI - Women,1.0,2232752.0,8528.0,Final,6360.0
Olivia Smoliga,50,FR,SCY,F,2016.0,21.21,21.21,0.05999999999999872,0.2820874471085977,True,0.05999999999999872,0.2820874471085977,7.0,7.0,Georgia,SEC,2016-03-17,2016 NCAA DI - Women,1.0,2931188.0,8388.0,Final,39306.0
Lara Jackson,50,FR,SCY,F,2009.0,21.27,21.27,0.05999999999999872,0.2812939521800222,False,0.35999999999999943,1.6643550624133123,0.0,,Arizona,Pac,2009-03-19,2009 NCAA DI - Women,1.0,1285151.0,8654.0,,13365.0
Lara Jackson,50,FR,SCY,F,2009.0,21.33,21.33,0.3000000000000007,1.386962552011099,True,,,3.0,3.0,Arizona,Pac,2008-12-04,UT Invite,1.0,1285151.0,8654.0,Final,53523.0
Kara Lynn Joyce Lynn,50,FR,SCY,F,2006.0,21.63,21.63,0.060000000000002274,0.2766251728907435,True,0.060000000000002274,0.2766251728907435,4.0,4.0,Georgia,,2006-03-16,,1.0,946453.0,8388.0,,
Maritza Correia,50,FR,SCY,F,2002.0,21.69,21.69,0.0799999999999983,0.3674781809829963,True,0.0799999999999983,0.3674781809829963,8.0,8.0,Georgia,,2002-01-01,,1.0,948395.0,8388.0,,
Amy Van Dyken,50,FR,SCY,F,1994.0,21.77,21.77,,,True,,,,,Colorado State,,1994-01-01,,1.0,190245.0,24.0,,
Caeleb Dressel,50,FR,SCY,M,2018.0,17.63,17.63,0.5700000000000003,3.131868131868133,False,0.8399999999999999,4.547915538711424,2.0,,Florida,SEC,2018-03-22,2018 NCAA DI - Men,1.0,1063976.0,8619.0,Final,36584.0
Caeleb Dressel,50,FR,SCY,M,2016.0,18.2,18.20,0.030000000000001137,0.16456390565003368,False,,,0.0,,Florida,SEC,2016-03-24,2016 NCAA DI - Men,1.0,1063976.0,8619.0,Final,13430.0
Caeleb Dressel,50,FR,SCY,M,2016.0,18.23,18.23,0.23999999999999844,1.299404439631827,True,,,8.0,9.0,Florida,SEC,2016-02-17,2016 SEC Champs,1.0,1063976.0,8619.0,Final,5027.0
